frame,record_pos,videoSize,packetSize,first32hex,startValid,nearestCandidate,delta
0,43014,8414,10635,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff,0,45056,2042
1,53649,10088,12309,eb64668de2e6b267672ae4d7e08d4f5207104be9e650c8c8d9efee3a5561e6e7,0,55691,2042
2,65958,11273,13494,997503f547b9147597d9e7f87379d358f0ec76422271f2dc78eaeaf5f639d8a3,0,68000,2042
3,79452,11947,14168,ead1f5f0770d9316eef9e7127514e98a9396726b0bb4e46364e488ceed984b8a,0,81494,2042
4,93620,12790,15011,7217eeeaeb3617f499ddd3030ad1c9ef4a1c85ba6352f1f5923702b9031aeb15,0,95662,2042
5,108631,13380,15601,036552ec7362f28b598c11ebe073d1aa381c97bf636ea8c828e38cdfe802d403,0,110673,2042
6,124232,14110,16331,2fe8e5f3066f7196f1d6e22907e8f4f5bc746b84018a336b677398e92e692769,0,126274,2042
7,140563,14893,17114,b5e812360bbac21e668a9510284b609df1811b6fe2f2f0e229173aa80a3f6983,0,142605,2042
8,157677,15540,17761,6deae27564f3a3ed0e0c067203f41a62bbf2ba7249e423dbb0d26b63f1f21e6a,0,159719,2042
9,175438,15957,18178,6433e5f66b62d2ead96368a80fe4f3666619f3f8ef43666e6af0f2e4150cc50d,0,177480,2042
10,193616,16816,19037,17414b6944929810476d97f193a637e8e40a528c11a6d683717325eef0326584,0,195658,2042
11,212653,17147,19368,1a8a27c1e649638d85e4eb83646673e75c544d8cb4f1030d6984f9f405e36ac7,0,214695,2042
12,232021,18514,20735,ce4a66e01d61dca4f2af6d44e422c4ebb794f0eeebe86d8716eaa469af6e12e0,0,234063,2042
13,252756,19126,21347,15f36e06f171339565ee8f03f41d06f16205726bf30d6c985a63e716ede271ee,0,254798,2042
14,274103,21590,23811,0a1d8e13efe1f1f18606e16e65bd596c16900f9241b1aa618ee26991edf4a940,0,276145,2042
15,297914,21974,24195,48e1ea951916549d4a63e7b1dcdc42649a9fecc03f7368ac890698cf93261461,0,299956,2042
16,322109,21522,23743,6745bf8b630d6b891487e85992e5aa2b3b5bc2d5a0e5ebe5eaea88982317e711,0,324151,2042
17,345852,22258,24479,e36ee8cdd1e48106f16865ed6b049b0d836d7496982fe94a8e5399f46b71d813,0,347894,2042
18,370331,20331,22552,1337943c6a6684ac831d82eef2c204956fb3a80d614d945be8c57148e591086b,0,372373,2042
19,392883,21345,23566,e6e4cc681ff0a2edc3330163abdb648bf3d2dd3a63106b03ea0d65f1d606bd05,0,394925,2042
20,416449,20656,22877,03e429a8ca0fb9c11069a7e0e204c1e5a80ddbe6e8ebe79191ebe4dc8569f3de,0,418491,2042
21,439326,20189,22410,696ef197c0f55c19ed1ff7f097413ee5efeea0116f03d2946a2fb7c2d16a1664,0,441368,2042
22,461736,17910,20131,626fe3c430979b72ce9303e33c059114e2e8d0e4d3e40c04d9ded236ac187090,0,463778,2042
